"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5978","Login page elements visibility","chromium","Mon Sep 08 16:39:50 IST 2025","passed","Mon Sep 08 16:39:56 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","10089","Failed login with invalid username","chromium","Mon Sep 08 16:39:39 IST 2025","passed","Mon Sep 08 16:39:49 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","6952","Clear input fields","webkit","Mon Sep 08 16:40:11 IST 2025","passed","Mon Sep 08 16:40:17 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","8838","Failed login with invalid password","chromium","Mon Sep 08 16:39:50 IST 2025","passed","Mon Sep 08 16:39:59 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","6793","Clear input fields","firefox","Mon Sep 08 16:40:19 IST 2025","passed","Mon Sep 08 16:40:26 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","8772","Forgot password link functionality","firefox","Mon Sep 08 16:40:18 IST 2025","passed","Mon Sep 08 16:40:27 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","9011","Successful login with valid credentials","firefox","Mon Sep 08 16:39:58 IST 2025","passed","Mon Sep 08 16:40:07 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","10721","Failed login with empty username","chromium","Mon Sep 08 16:39:39 IST 2025","passed","Mon Sep 08 16:39:49 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","10740","Failed login with invalid password","firefox","Mon Sep 08 16:40:08 IST 2025","passed","Mon Sep 08 16:40:19 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","7684","Login page elements visibility","firefox","Mon Sep 08 16:40:11 IST 2025","passed","Mon Sep 08 16:40:18 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","10396","Failed login with invalid username","webkit","Mon Sep 08 16:40:23 IST 2025","passed","Mon Sep 08 16:40:34 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","6387","Input field placeholders","firefox","Mon Sep 08 16:40:14 IST 2025","passed","Mon Sep 08 16:40:21 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","10132","Failed login with invalid username","firefox","Mon Sep 08 16:39:58 IST 2025","passed","Mon Sep 08 16:40:08 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","10494","Successful login with valid credentials","webkit","Mon Sep 08 16:40:23 IST 2025","passed","Mon Sep 08 16:40:33 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","6216","Input field placeholders","chromium","Mon Sep 08 16:39:51 IST 2025","passed","Mon Sep 08 16:39:57 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","10501","End-to-End Product Flow","chromium","Mon Sep 08 21:10:07 IST 2025","passed","Mon Sep 08 21:10:17 IST 2025","Automation Exercise - Products Page Scenarios","tests\producttest.spec.js","",""
"","11383","Failed login with invalid password","webkit","Mon Sep 08 16:40:33 IST 2025","passed","Mon Sep 08 16:40:45 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","30871","End-to-End Product Flow","webkit","Mon Sep 08 21:09:05 IST 2025","broken","Mon Sep 08 21:09:36 IST 2025","Automation Exercise - Products Page Scenarios","tests\producttest.spec.js","",""
"","5312","Input field placeholders","webkit","Mon Sep 08 16:40:36 IST 2025","passed","Mon Sep 08 16:40:42 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","7333","Forgot password link functionality","webkit","Mon Sep 08 16:40:08 IST 2025","passed","Mon Sep 08 16:40:15 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","11692","Successful login with valid credentials","chromium","Mon Sep 08 16:39:39 IST 2025","passed","Mon Sep 08 16:39:50 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","11169","Failed login with empty password","chromium","Mon Sep 08 16:39:39 IST 2025","passed","Mon Sep 08 16:39:50 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","12281","Failed login with empty username","firefox","Mon Sep 08 16:40:00 IST 2025","passed","Mon Sep 08 16:40:13 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","31221","End-to-End Product Flow","firefox","Mon Sep 08 21:09:05 IST 2025","broken","Mon Sep 08 21:09:36 IST 2025","Automation Exercise - Products Page Scenarios","tests\producttest.spec.js","",""
"","6654","Failed login with empty username","webkit","Mon Sep 08 16:40:29 IST 2025","passed","Mon Sep 08 16:40:36 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","6238","Forgot password link functionality","chromium","Mon Sep 08 16:39:51 IST 2025","passed","Mon Sep 08 16:39:57 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","6058","Clear input fields","chromium","Mon Sep 08 16:39:56 IST 2025","passed","Mon Sep 08 16:40:02 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","7110","Login page elements visibility","webkit","Mon Sep 08 16:40:34 IST 2025","passed","Mon Sep 08 16:40:41 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","11484","Failed login with empty password","firefox","Mon Sep 08 16:40:05 IST 2025","passed","Mon Sep 08 16:40:17 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
"","7628","Failed login with empty password","webkit","Mon Sep 08 16:40:30 IST 2025","passed","Mon Sep 08 16:40:38 IST 2025","OrangeHRM Login Scenarios","tests\login1.spec.js","",""
